# Generated by tools/re/vtables.py - the engine's C++ vtables, found from the code that
# installs them. Do not edit: regenerate instead.
# vtable	slots	installed by	method addresses
00304a90	70	00205fe8	0026eb00,0026eb10,0026eb28,0026eb40,-,-,0026d828,0017ca20,0017ca20,0017ca20,0017ca20,-,-,001f6880,0017ca20,0017ca20,0017ca20,-,-,001794f8,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,00179528,00179530,-,-,0017c7e0,0017ca20,00179358,-,-,-,0026ee58,0026eb88,0017ca20,-,-,0026eed0,0026ef20,-,-,0027e888,0026f330,0026f3f0,0026f778,0027e8b8,0027e8e0,0027e8e8,-,-,0027e6c8,0026f330,0026f3f0,0026f778,0027e718,0027e770,0027e778,-,-,0027e218,0027e240,0027e210,-,-,0027df20,0027df50,0027e0b0
00304cc0	2	0027b640	0027a918,0027df60
00304cd0	2	0027b798	0027e030,0027de28
00304ce0	4	0027b798	0027e100,-,-,0027cd20
00304d00	2	0027af78	0027cd58,0027cd90
00304d10	6	0027af78	0027cd78,0027c240,0027b760,-,-,0027cbf8
00304d40	8	0027b6c0	0027cc28,00279208,0027cbd8,0027b798,-,-,0027ca40,0027ca70
00304d80	2	0027b6c0,0027bc48	00278960,0027ca90
00304d90	6	0027bac8	0027c240,0027b760,-,-,0027c480,0027c4f0
00304dc0	8	0027be38	00274048,00274b20,00274820,0027c408,00275978,-,-,0027c830
00304e00	9	0027b730	00277828,00277b10,002782e0,0027c898,-,-,0027bd18,0027dd48,0027ddb0
00304e48	9	0027bc48	0027b9d0,0027bd40,0027ddb8,-,-,0027bc48,0027dbe8,0027dbf8,0027b9d0
00304e90	23	00205fe8	0027bd08,0027dd30,-,-,0027bc18,0027da60,0027db18,0027b9d0,0027bc40,0027db38,-,-,0027bbd0,0027a770,0027da20,0027b9d0,0027bc00,0027da28,-,-,0027bb98,0027a570,0027d880
00304f48	54	0027bac8	0027b9d0,0027bbc0,0027d890,-,-,0027bad8,0027d298,0027a248,0027b9d0,0027bb80,0027cdf8,-,-,0027ba60,0027cfe8,0027d0e8,0027b9d0,0027bac8,0027a178,-,-,0027ba30,00279810,0027cef0,0027cfb8,0027ba58,00279990,-,-,0027d550,0027d580,0027d598,0027b9d0,0027ba20,0027d5a8,-,-,0027d688,0027d6e8,0027d770,0027b9d0,0027ba08,0027d7f0,-,-,0027d368,0027d398,0027d3f8,0027b9d0,0027b9f8,0027d4b0,-,-,0027cdc8
003050f8	12	0027cf58	0017ca20,0017ca20,0027b9d0,0017ca20,0027cdf8,-,-,0027b9a0,0026fa58,-,-,0026f228
00305158	2	0026f330	0026f330,0026f3f0
00305168	8	0026f330	0026f778,-,-,00192588,0027e440,001f6160,0019a328,0027b7e8
003051a8	61	0027cf58	0019a330,001f61a8,001f5428,0019a348,0027b7f0,0027e3c8,0027e3d0,0027e3d8,0027aa80,0027e3e0,001f5fe0,-,-,0027b768,0017ca20,0017ca20,0017ca20,0027b798,-,-,0027c210,0017ca20,0017ca20,0017ca20,0027c240,0027b760,-,-,00192588,0027bef0,001925a8,0027bfb8,0027b5f8,0019a330,0027c068,00270ad8,0019a348,0027b600,-,-,0027e998,-,-,0027e938,-,-,0027e900,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,-,-,00282508,00282538,00179358,-,-
00305610	11	00291ad8	00192588,00291ab0,001925a8,002918a0,00291878,0019a330,0019a338,00291aa8,0019a348,00291880,-
00305690	136	00205fe8	00179358,-,-,001a1ef8,001a2df0,001a2e00,001a2e08,001a2e18,001a2f48,00179528,00179530,-,-,001a1e28,001a2f68,001a2f78,001a2f80,001a2f90,001a30c0,00179528,00179530,-,-,001a1d58,001a30e0,001a30f0,001a30f8,001a3108,001a3238,00179528,00179530,-,-,001a1c88,001a3258,001a3268,001a3270,001a3280,001a33b0,00179528,00179530,-,-,001a1bb8,001a33d0,001a33e0,001a33e8,001a33f8,001a3528,00179528,00179530,-,-,001a1ae8,001a3548,001a3558,001a3560,001a3570,001a36a0,00179528,00179530,-,-,00299110,002993b8,00179358,-,-,00298b40,00298b70,00298b78,00298bb8,00298ba8,00299aa8,00299ab8,00299ad0,00299ae8,-,-,00298b10,0017ca20,0017ca20,0017ca20,0017ca20,-,-,00297d00,00299170,00179358,-,-,001a6270,001a62a0,00179358,-,-,001a6240,001a6300,00179358,-,-,001a6210,001a6360,00179358,-,-,001a61e0,001a63c0,00179358,-,-,001a61b0,001a6420,00179358,-,-,001a6180,001a6480,00179358,-,-,001794f8,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,00179528,00179530,-,-,0017c7e0,0017ca20,00179358,-,-
00306cb0	12	002b00c8	002af288,002af3b0,002b0170,002b01e8,002b0238,002b0280,-,-,0017ca20,0017ca20,002b0340,0017ca20
00306d10	6	002b0238	0017ca20,0017ca20,0017ca20,002afd48,002afd58,-
00307158	49	ReadChar?	0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,0017ca20,-,-,002b5a98,0017ca20,002b5ac8,-,-,002b5998,002b59c8,002b59d8,002b59f8,002b59e8,002b7358,002b7368,002b7378,-,-
003072e0	20	002b59f8	002b5968,0017ca20,0017ca20,0017ca20,0017ca20,-,-,002b7390,002b73c0,00179358,-,-,0017c7e0,0017ca20,00179358,-,-,00122ec0,0017ca20,-
